url,name,UserCount,PullRequests,description,created_at
https://api.github.com/repos/matplotlib/basemap,basemap,17,93,,"2011-02-18 17:58:42"
https://api.github.com/repos/mana/manaserv,manaserv,10,68,"A flexible 2D MMORPG server","2011-03-23 14:15:29"
https://api.github.com/repos/Netflix/SimianArmy,SimianArmy,47,79,"Tools for keeping your cloud operating in top form. Chaos Monkey is a resiliency tool that helps your applications can tolerate random instance failures.","2012-07-06 13:00:05"
https://api.github.com/repos/bitly/dablooms,dablooms,33,55,,"2012-07-25 09:41:03"
https://api.github.com/repos/mozilla/mozbase,mozbase,17,49,"Base utilties for mozilla test harnesses","2011-09-27 07:25:04"
https://api.github.com/repos/jupiterjs/canjs,canjs,12,39,"Can do JS, better, faster, easier.","2012-01-20 08:57:21"
https://api.github.com/repos/heroku/heroku-buildpack-ruby,heroku-buildpack-ruby,17,86,"Heroku's Ruby Buildpack for Cedar","2011-05-24 06:14:41"
https://api.github.com/repos/spree/spree_reviews,spree_reviews,33,55,,"2012-02-08 07:55:23"
https://api.github.com/repos/gwu-libraries/launchpad,launchpad,10,21,"A django based system that provides a stable URL for every item in the library's catalog. Various discovery services will link to these URLs. The page for each item will in turn link out to various other resources that provide methods for accessing the co","2012-05-21 04:47:52"
https://api.github.com/repos/seajs/seajs,seajs,12,51,"A Module Loader for the Web","2010-12-29 06:02:37"
https://api.github.com/repos/django-nonrel/djangotoolbox,djangotoolbox,13,20,"Set of Django tools that are nonrel-compatible","2011-11-25 09:24:30"
https://api.github.com/repos/lml/quadbase,quadbase,11,88,"Quadbase.org - Question Banking Made Easy","2011-08-26 10:09:35"
https://api.github.com/repos/facebook/facebook-php-sdk,facebook-php-sdk,37,91,"Facebook PHP SDK","2011-12-30 14:47:27"
https://api.github.com/repos/dellcloudedge/barclamp-nova_dashboard,barclamp-nova_dashboard,18,46,"Nova Dashboard","2011-09-26 16:30:25"
